X,Y,Label
1727,396,I6
399,1605,I6
306,2105,I6
1487,967,I6
2132,-118,I6
1145,655,I6
-46,1891,I6
590,1706,I6
1839,428,I6
1855,176,I6
559,1254,I6
57,2057,I6
1128,1217,I6
2078,-25,I6
1431,526,I6
161,1777,I6
527,1968,I6
1794,685,I6
2124,-21,I6
831,933,I6
-66,2048,I6
823,1505,I6
2066,212,I6
1714,420,I6
377,1648,I6
304,2121,I6
1506,950,I6
2130,-125,I6
1141,636,I6
-46,1877,I6
586,1670,I6
1839,404,I6
1826,164,I6
530,1234,I6
45,1986,I6
1131,1130,I6
2048,-82,I6
1382,476,I6
109,1745,I6
479,1923,I6
1724,661,I6
2043,-26,I6
764,925,I6
-120,2029,I6
768,1504,I6
1986,245,I6
1685,418,I6
400,1594,I6
322,2060,I6
1475,943,I6
2110,-136,I6
1157,604,I6
-9,1814,I6
645,1636,I6
1904,363,I6
1924,113,I6
585,1225,I6
43,2033,I6
1120,1169,I6
2079,-104,I6
1445,395,I6
155,1626,I6
492,1837,I6
1733,487,I6
2055,-306,I6
783,533,I6
-110,1632,I6
753,1093,I6
1958,-259,I6
1692,-204,I6
390,952,I6
296,1478,I6
1457,257,I6
2093,-893,I6
1140,-182,I6
-43,1107,I6
559,904,I6
1866,-470,I6
1924,-772,I6
573,360,I6
22,1252,I6
1092,325,I6
2068,-1011,I6
1450,-476,I6
178,868,I6
496,1103,I6
1793,-262,I6
2116,-962,I6
859,24,I6
-61,1225,I6
833,660,I6
2085,-669,I6
1753,-412,I6
409,904,I6
315,1441,I6
1538,182,I6
2172,-893,I6
1169,-74,I6
-98,1302,I6
564,1037,I6
1852,-338,I6
1843,-564,I6
519,599,I6
18,1426,I6
1109,467,I6
2029,-828,I6
1345,-260,I6
77,1049,I6
476,1205,I6
1759,-130,I6
2065,-803,I6
758,214,I6
-119,1352,I6
770,768,I6
1992,-539,I6
1666,-283,I6
376,974,I6
332,1459,I6
1535,212,I6
2125,-851,I6
1132,-44,I6
-43,1259,I6
611,1006,I6
1903,-351,I6
1884,-566,I6
577,586,I6
80,1404,I6
1162,452,I6
2084,-839,I6
1387,-228,I6
96,1116,I6
479,1275,I6
1779,-94,I6
2060,-769,I6
757,275,I6
-136,1420,I6
778,810,I6
2011,-515,I6
1645,-248,I6
341,1033,I6
326,1497,I6
1527,239,I6
2107,-791,I6
1101,39,I6
-98,1325,I6
547,1064,I6
1814,-271,I6
1775,-459,I6
465,697,I6
12,1468,I6
1118,497,I6
2038,-806,I6
1311,-175,I6
13,1172,I6
451,1325,I6
1781,-50,I6
2071,-698,I6
749,361,I6
-118,1476,I6
826,833,I6
2020,-519,I6
1624,-211,I6
315,1067,I6
315,1505,I6
1527,202,I6
2078,-811,I6
1052,33,I6
-141,1325,I6
561,1036,I6
1827,-294,I6
1762,-430,I6
475,721,I6
39,1464,I6
1169,468,I6
2047,-809,I6
1326,-171,I6
40,1150,I6
541,1263,I6
1840,-101,I6
2084,-720,I6
768,333,I6
-88,1436,I6
900,765,I6
2072,-586,I6
1625,-226,I6
289,1061,I6
318,1487,I6
1512,158,I6
2053,-832,I6
1005,39,I6
-161,1352,I6
569,1031,I6
1814,-306,I6
1726,-407,I6
469,736,I6
69,1462,I6
1195,444,I6
2055,-815,I6
1304,-179,I6
12,1132,I6
503,1204,I6
